DATA;TEMPERATURA MAXIMA;PRECIPITACAO
01/01/2018;24.41;0
02/01/2018;22.16;1
03/01/2018;25.54;1
04/01/2018;27.29;0
05/01/2018;28.63;0
06/01/2018;24.83;0
07/01/2018;24.88;1
08/01/2018;25.45;0
09/01/2018;24.31;0
10/01/2018;22.93;1
11/01/2018;24.18;0
12/01/2018;25.97;1
13/01/2018;22.08;1
14/01/2018;24.58;1
15/01/2018;24.08;1
16/01/2018;25.75;1
17/01/2018;26.31;1
18/01/2018;25.4;1
19/01/2018;25.55;1
20/01/2018;23.35;1
21/01/2018;22.28;1
22/01/2018;26.4;1
23/01/2018;25.05;1
24/01/2018;27.05;1
25/01/2018;25.39;1
26/01/2018;23.72;0
27/01/2018;24.92;0
28/01/2018;25.49;1
29/01/2018;25.81;1
30/01/2018;24.98;0
31/01/2018;26.39;0
01/02/2018;25.36;0
02/02/2018;26.01;1
03/02/2018;25.23;0
04/02/2018;25.23;0
05/02/2018;25.46;0
06/02/2018;26.27;0
07/02/2018;26.37;0
08/02/2018;27.9;0
09/02/2018;27.38;1
10/02/2018;25.32;1
11/02/2018;24.36;1
12/02/2018;21.6;1
13/02/2018;20.32;0
14/02/2018;20.77;0
15/02/2018;22.07;0
16/02/2018;23.51;0
17/02/2018;23.69;0
18/02/2018;23.13;1
19/02/2018;21.32;1
20/02/2018;22.71;1
21/02/2018;24.92;0
22/02/2018;23.51;0
23/02/2018;24.39;0
24/02/2018;25.32;0
25/02/2018;26.61;0
26/02/2018;26.11;0
27/02/2018;25.73;0
28/02/2018;23.88;1
01/03/2018;27.61;1
02/03/2018;26.95;1
03/03/2018;23.65;0
04/03/2018;24.61;1
05/03/2018;27.31;0
06/03/2018;25.91;0
07/03/2018;24.54;1
08/03/2018;24.9;0
09/03/2018;26.75;0
10/03/2018;27.5;0
11/03/2018;28.46;0
12/03/2018;26.93;0
13/03/2018;26.5;0
14/03/2018;21.81;1
15/03/2018;20.96;1
16/03/2018;25.07;1
17/03/2018;29.15;1
18/03/2018;29.33;1
19/03/2018;25.63;1
20/03/2018;23.18;1
21/03/2018;23.78;1
22/03/2018;23.34;0
23/03/2018;21.63;1
24/03/2018;28.02;1
25/03/2018;20.27;1
26/03/2018;20.02;1
27/03/2018;20.92;0
28/03/2018;24.01;1
29/03/2018;24.98;1
30/03/2018;23.64;1
31/03/2018;20.33;1
01/04/2018;22.98;1
02/04/2018;23.05;1
03/04/2018;23.32;0
04/04/2018;23.61;0
05/04/2018;24.57;0
06/04/2018;25.1;0
07/04/2018;25.24;0
08/04/2018;25.21;0
09/04/2018;25.48;0
10/04/2018;26.54;0
11/04/2018;26.64;1
12/04/2018;26.76;0
13/04/2018;23.25;0
14/04/2018;19.4;1
15/04/2018;18.11;1
16/04/2018;19.96;1
17/04/2018;22.07;0
18/04/2018;23.74;0
19/04/2018;24.81;0
20/04/2018;21.65;0
21/04/2018;25.24;0
22/04/2018;25.84;1
23/04/2018;24.36;1
24/04/2018;25.35;0
25/04/2018;25.23;1
26/04/2018;23.59;0
27/04/2018;25.73;0
28/04/2018;26.37;1
29/04/2018;25.79;0
30/04/2018;24.9;0
01/05/2018;21.83;0
02/05/2018;21;1
03/05/2018;26.43;0
04/05/2018;26.28;0
05/05/2018;25.55;1
06/05/2018;21.01;1
07/05/2018;22.28;1
08/05/2018;22.48;0
09/05/2018;22.67;1
10/05/2018;20.44;1
11/05/2018;19.78;1
12/05/2018;18.85;1
13/05/2018;20.01;0
14/05/2018;21.95;0
15/05/2018;19.29;0
16/05/2018;18.07;1
17/05/2018;16.41;0
18/05/2018;19.75;1
19/05/2018;14.37;1
20/05/2018;11.89;1
21/05/2018;15.39;0
22/05/2018;15.59;0
23/05/2018;9.89;0
24/05/2018;11.77;0
25/05/2018;14.47;0
26/05/2018;14.74;1
27/05/2018;20.61;0
28/05/2018;19.42;0
29/05/2018;20.48;0
30/05/2018;18.33;0
31/05/2018;18.71;0
01/06/2018;17.64;1
02/06/2018;15.14;1
03/06/2018;12.43;0
04/06/2018;13.54;1
05/06/2018;11.57;1
06/06/2018;13.12;1
07/06/2018;8.92;0
08/06/2018;14.61;0
09/06/2018;17.58;0
10/06/2018;21.12;1
11/06/2018;24.56;1
12/06/2018;19.24;1
13/06/2018;13.57;1
14/06/2018;9.26;0
15/06/2018;7.91;1
16/06/2018;9.84;1
17/06/2018;13.68;0
18/06/2018;15.87;0
19/06/2018;17.68;0
20/06/2018;19.21;0
21/06/2018;21.63;0
22/06/2018;18.88;0
23/06/2018;22.33;0
24/06/2018;19.9;0
25/06/2018;17.33;1
26/06/2018;15.9;1
27/06/2018;19.79;1
28/06/2018;17.38;0
29/06/2018;21.27;1
30/06/2018;20.05;1
01/07/2018;21.1;0
02/07/2018;21.74;0
03/07/2018;17.16;0
04/07/2018;16.68;0
05/07/2018;18.62;0
06/07/2018;23.37;0
07/07/2018;22.32;0
08/07/2018;18.35;0
09/07/2018;11.61;1
10/07/2018;10.57;0
11/07/2018;8.16;0
12/07/2018;14.65;0
13/07/2018;19.01;0
14/07/2018;22.5;0
15/07/2018;24.45;0
16/07/2018;22.66;0
17/07/2018;24.57;0
18/07/2018;19.78;0
19/07/2018;24.63;0
20/07/2018;24.16;0
21/07/2018;12.68;1
22/07/2018;15.26;1
23/07/2018;22.45;1
24/07/2018;13.57;0
25/07/2018;16.53;1
26/07/2018;19.07;1
27/07/2018;21.3;0
28/07/2018;22.94;0
29/07/2018;18.48;1
30/07/2018;17.83;0
31/07/2018;15.75;0
01/08/2018;13.88;0
02/08/2018;16.19;0
03/08/2018;14.74;1
04/08/2018;16.82;1
05/08/2018;14.28;1
06/08/2018;17.44;1
07/08/2018;19.77;0
08/08/2018;15.45;1
09/08/2018;13.2;1
10/08/2018;12.25;0
11/08/2018;16.67;0
12/08/2018;20.07;0
13/08/2018;21.4;0
14/08/2018;22.15;0
15/08/2018;15.68;1
16/08/2018;16.45;1
17/08/2018;18.63;0
18/08/2018;20.29;0
19/08/2018;23.89;0
20/08/2018;20.9;1
21/08/2018;12.6;1
22/08/2018;12.1;1
23/08/2018;19.71;0
24/08/2018;21.49;1
25/08/2018;14.46;1
26/08/2018;14.19;0
27/08/2018;18.15;0
28/08/2018;21.61;0
29/08/2018;26.3;0
30/08/2018;26.57;0
31/08/2018;22.95;1
01/09/2018;19.29;1
02/09/2018;15.59;1
03/09/2018;13.93;1
