DATA;CONSUMO;MES;ANO
12/08/2018;701;8;2018
12/09/2018;591;9;2018
11/10/2018;588;10;2018
12/11/2018;494;11;2018
11/12/2018;463;12;2018
10/01/2019;277;1;2019
11/02/2019;374;2;2019
13/03/2019;785;3;2019
10/04/2019;737;4;2019
10/05/2019;709;5;2019
11/06/2019;942;6;2019
11/07/2019;948;7;2019
12/08/2019;533;8;2019
11/09/2019;691;9;2019
10/10/2019;587;10;2019
11/11/2019;767;11;2019
11/12/2019;699;12;2019
10/01/2020;649;1;2020
11/02/2020;398;2;2020
12/03/2020;1040;3;2020
09/04/2020;299;4;2020
12/05/2020;284;5;2020
09/06/2020;354;6;2020
10/07/2020;395;7;2020
11/08/2020;658;8;2020
11/09/2020;456;9;2020
09/10/2020;414;10;2020
11/11/2020;394;11;2020
10/12/2020;372;12;2020
11/01/2021;276;1;2021
09/02/2021;533;2;2021
10/03/2021;293;3;2021
10/04/2021;418;4;2021
11/05/2021;635;5;2021
10/06/2021;331;6;2021
09/07/2021;220;7;2021
10/08/2021;519;8;2021
10/09/2021;218;9;2021
09/10/2021;306;10;2021
10/11/2021;305;11;2021
13/12/2021;421;12;2021
12/01/2022;517;1;2022
10/02/2022;344;2;2022
15/03/2022;349;3;2022
11/04/2022;351;4;2022
11/05/2022;319;5;2022
10/06/2022;440;6;2022
12/07/2022;351;7;2022
11/08/2022;379;8;2022
13/09/2022;369;9;2022
13/10/2022;458;10;2022
11/11/2022;392;11;2022
13/12/2022;373;12;2022
11/01/2023;206;1;2023
10/02/2023;329;2;2023
13/03/2023;338;3;2023
12/04/2023;748;4;2023
12/05/2023;775;5;2023
13/06/2023;401;6;2023
13/07/2023;547;7;2023
14/08/2023;652;8;2023
13/09/2023;1074;9;2023
11/10/2023;842;10;2023
