DATA;CONSUMO;MES;ANO
23/08/2018;22575;8;2018
23/09/2018;21969;9;2018
23/10/2018;20174;10;2018
21/11/2018;19998;11;2018
21/12/2018;20426;12;2018
21/01/2019;10732;1;2019
21/02/2019;17208;2;2019
21/03/2019;19451;3;2019
21/04/2019;23949;4;2019
21/05/2019;24015;5;2019
21/06/2019;25339;6;2019
21/07/2019;17866;7;2019
21/08/2019;20875;8;2019
21/09/2019;24787;9;2019
21/10/2019;20567;10;2019
21/11/2019;23507;11;2019
21/12/2019;23408;12;2019
21/01/2020;8685;1;2020
21/02/2020;17827;2;2020
21/03/2020;20919;3;2020
21/04/2020;12363;4;2020
21/05/2020;12430;5;2020
21/06/2020;12592;6;2020
21/07/2020;12086;7;2020
21/08/2020;12340;8;2020
21/09/2020;11651;9;2020
09/10/2020;7252;10;2020
31/10/2020;8091;10;2020
31/12/2020;9746;12;2020
31/01/2021;11377;1;2021
28/02/2021;9494;2;2021
31/03/2021;9738;3;2021
30/04/2021;10678;4;2021
31/05/2021;13089;5;2021
30/06/2021;14538;6;2021
31/07/2021;14145;7;2021
31/08/2021;13681;8;2021
30/09/2021;12361;9;2021
31/10/2021;11683;10;2021
30/11/2021;19012;11;2021
31/12/2021;18837;12;2021
31/01/2022;12843;1;2022
28/02/2022;13786;2;2022
31/03/2022;22827;3;2022
30/04/2022;15589;4;2022
31/05/2022;15591;5;2022
30/06/2022;15575;6;2022
31/07/2022;13855;7;2022
31/08/2022;14372;8;2022
30/09/2022;12741;9;2022
31/10/2022;13622;10;2022
30/11/2022;14326;11;2022
31/12/2022;12500;12;2022
31/01/2023;10272;1;2023
28/02/2023;13555;2;2023
31/03/2023;15342;3;2023
30/04/2023;14480;4;2023
31/05/2023;16964;5;2023
30/06/2023;16655;6;2023
31/07/2023;21165;7;2023
31/08/2023;21955;8;2023
30/09/2023;11897;9;2023
