DATA;ANO;MES;DIA;DIA-SEMANA;HORA; QTDE CURSOS PRESENCIAIS NA ULTIMA HORA;FERIADO/RECESSO;FERIAS;COVID
23/08/2018 00:00;2018;8;23;3;0;0;0;0;0
23/08/2018 01:00;2018;8;23;3;1;0;0;0;0
23/08/2018 02:00;2018;8;23;3;2;0;0;0;0
23/08/2018 03:00;2018;8;23;3;3;0;0;0;0
23/08/2018 04:00;2018;8;23;3;4;0;0;0;0
23/08/2018 05:00;2018;8;23;3;5;0;0;0;0
23/08/2018 06:00;2018;8;23;3;6;0;0;0;0
23/08/2018 07:00;2018;8;23;3;7;0;0;0;0
23/08/2018 08:00;2018;8;23;3;8;0;0;0;0
23/08/2018 09:00;2018;8;23;3;9;5;0;0;0
23/08/2018 10:00;2018;8;23;3;10;5;0;0;0
23/08/2018 11:00;2018;8;23;3;11;5;0;0;0
23/08/2018 12:00;2018;8;23;3;12;5;0;0;0
23/08/2018 13:00;2018;8;23;3;13;0;0;0;0
23/08/2018 14:00;2018;8;23;3;14;5;0;0;0
23/08/2018 15:00;2018;8;23;3;15;5;0;0;0
23/08/2018 16:00;2018;8;23;3;16;5;0;0;0
23/08/2018 17:00;2018;8;23;3;17;5;0;0;0
23/08/2018 18:00;2018;8;23;3;18;0;0;0;0
23/08/2018 19:00;2018;8;23;3;19;0;0;0;0
23/08/2018 20:00;2018;8;23;3;20;10;0;0;0
23/08/2018 21:00;2018;8;23;3;21;10;0;0;0
23/08/2018 22:00;2018;8;23;3;22;10;0;0;0
23/08/2018 23:00;2018;8;23;3;23;10;0;0;0
24/08/2018 00:00;2018;8;24;4;0;0;0;0;0
24/08/2018 01:00;2018;8;24;4;1;0;0;0;0
24/08/2018 02:00;2018;8;24;4;2;0;0;0;0
24/08/2018 03:00;2018;8;24;4;3;0;0;0;0
24/08/2018 04:00;2018;8;24;4;4;0;0;0;0
24/08/2018 05:00;2018;8;24;4;5;0;0;0;0
24/08/2018 06:00;2018;8;24;4;6;0;0;0;0
24/08/2018 07:00;2018;8;24;4;7;0;0;0;0
24/08/2018 08:00;2018;8;24;4;8;0;0;0;0
24/08/2018 09:00;2018;8;24;4;9;5;0;0;0
24/08/2018 10:00;2018;8;24;4;10;5;0;0;0
24/08/2018 11:00;2018;8;24;4;11;5;0;0;0
24/08/2018 12:00;2018;8;24;4;12;5;0;0;0
24/08/2018 13:00;2018;8;24;4;13;0;0;0;0
24/08/2018 14:00;2018;8;24;4;14;5;0;0;0
24/08/2018 15:00;2018;8;24;4;15;5;0;0;0
24/08/2018 16:00;2018;8;24;4;16;5;0;0;0
24/08/2018 17:00;2018;8;24;4;17;5;0;0;0
24/08/2018 18:00;2018;8;24;4;18;0;0;0;0
24/08/2018 19:00;2018;8;24;4;19;0;0;0;0
24/08/2018 20:00;2018;8;24;4;20;10;0;0;0
24/08/2018 21:00;2018;8;24;4;21;10;0;0;0
24/08/2018 22:00;2018;8;24;4;22;10;0;0;0
24/08/2018 23:00;2018;8;24;4;23;10;0;0;0
25/08/2018 00:00;2018;8;25;5;0;0;0;0;0
25/08/2018 01:00;2018;8;25;5;1;0;0;0;0
25/08/2018 02:00;2018;8;25;5;2;0;0;0;0
25/08/2018 03:00;2018;8;25;5;3;0;0;0;0
25/08/2018 04:00;2018;8;25;5;4;0;0;0;0
25/08/2018 05:00;2018;8;25;5;5;0;0;0;0
25/08/2018 06:00;2018;8;25;5;6;0;0;0;0
25/08/2018 07:00;2018;8;25;5;7;0;0;0;0
25/08/2018 08:00;2018;8;25;5;8;0;0;0;0
25/08/2018 09:00;2018;8;25;5;9;0;0;0;0
25/08/2018 10:00;2018;8;25;5;10;0;0;0;0
25/08/2018 11:00;2018;8;25;5;11;0;0;0;0
25/08/2018 12:00;2018;8;25;5;12;0;0;0;0
25/08/2018 13:00;2018;8;25;5;13;0;0;0;0
25/08/2018 14:00;2018;8;25;5;14;0;0;0;0
25/08/2018 15:00;2018;8;25;5;15;0;0;0;0
25/08/2018 16:00;2018;8;25;5;16;0;0;0;0
25/08/2018 17:00;2018;8;25;5;17;0;0;0;0
25/08/2018 18:00;2018;8;25;5;18;0;0;0;0
25/08/2018 19:00;2018;8;25;5;19;0;0;0;0
25/08/2018 20:00;2018;8;25;5;20;0;0;0;0
25/08/2018 21:00;2018;8;25;5;21;0;0;0;0
25/08/2018 22:00;2018;8;25;5;22;0;0;0;0
25/08/2018 23:00;2018;8;25;5;23;0;0;0;0
26/08/2018 00:00;2018;8;26;6;0;0;0;0;0
26/08/2018 01:00;2018;8;26;6;1;0;0;0;0
26/08/2018 02:00;2018;8;26;6;2;0;0;0;0
26/08/2018 03:00;2018;8;26;6;3;0;0;0;0
26/08/2018 04:00;2018;8;26;6;4;0;0;0;0
26/08/2018 05:00;2018;8;26;6;5;0;0;0;0
26/08/2018 06:00;2018;8;26;6;6;0;0;0;0
26/08/2018 07:00;2018;8;26;6;7;0;0;0;0
26/08/2018 08:00;2018;8;26;6;8;0;0;0;0
26/08/2018 09:00;2018;8;26;6;9;0;0;0;0
26/08/2018 10:00;2018;8;26;6;10;0;0;0;0
26/08/2018 11:00;2018;8;26;6;11;0;0;0;0
26/08/2018 12:00;2018;8;26;6;12;0;0;0;0
