DATA;Energia Elétrica 3 passos - Com Clima;Energia Elétrica 6 passos - Com Clima;Energia Elétrica 12 passos - Com Clima;Energia Elétrica 3 passos - Sem Clima;Energia Elétrica 6 passos - Sem Clima;Energia Elétrica 12 passos - Sem Clima
2018-09-23;;;;;;
2018-10-23;;;;;;
2018-11-21;;;;;;
2018-12-21;;;;;;
2019-01-21;;;;;;
2019-02-21;;;;;;
2019-03-21;;;;;;
2019-04-21;;;;;;
2019-05-21;24015.0;24015.0;24015.0;;;
2019-06-21;25339.0;25339.0;25339.0;;;
2019-07-21;17866.0;17866.0;17866.0;;;
2019-08-21;20875.0;20875.0;20875.0;;;
2019-09-21;24787.0;24787.0;24787.0;;;
2019-10-21;20567.0;20567.0;20567.0;20567.0;20567.0;20567.0
2019-11-21;23507.0;23507.0;23507.0;23507.0;23507.0;23507.0
2019-12-21;23408.0;23408.0;23408.0;23408.0;23408.0;23408.0
2020-01-21;8685.0;8685.0;8685.0;8685.0;8685.0;8685.0
2020-02-21;17827.0;17827.0;17827.0;17827.0;17827.0;17827.0
2020-03-21;20919.0;20919.0;20919.0;20919.0;20919.0;20919.0
2020-04-21;12363.0;12363.0;12363.0;12363.0;12363.0;12363.0
2020-05-21;12430.0;12430.0;12430.0;12430.0;12430.0;12430.0
2020-06-21;12592.0;12592.0;12592.0;12592.0;12592.0;12592.0
2020-07-21;12086.0;12086.0;12086.0;12086.0;12086.0;12086.0
2020-08-21;12340.0;12340.0;12340.0;12340.0;12340.0;12340.0
2020-09-21;11651.0;11651.0;11651.0;11651.0;11651.0;11651.0
2020-10-09;7252.0;7252.0;7252.0;7252.0;7252.0;7252.0
2020-10-31;8091.0;8091.0;8091.0;8091.0;8091.0;8091.0
2020-12-31;9746.0;9746.0;9746.0;9746.0;9746.0;9746.0
2021-01-31;11377.0;11377.0;11377.0;11377.0;11377.0;11377.0
2021-02-28;9494.0;9494.0;9494.0;9494.0;9494.0;9494.0
2021-03-31;9738.0;9738.0;9738.0;9738.0;9738.0;9738.0
2021-04-30;10678.0;10678.0;10678.0;10678.0;10678.0;10678.0
2021-05-31;13089.0;13089.0;13089.0;13089.0;13089.0;13089.0
2021-06-30;14538.0;14538.0;14538.0;14538.0;14538.0;14538.0
2021-07-31;14145.0;14145.0;14145.0;14145.0;14145.0;14145.0
2021-08-31;13681.0;13681.0;13681.0;13681.0;13681.0;13681.0
2021-09-30;12361.0;12361.0;12361.0;12361.0;12361.0;12361.0
2021-10-31;11683.0;11683.0;11683.0;11683.0;11683.0;11683.0
2021-11-30;19012.0;19012.0;19012.0;19012.0;19012.0;19012.0
2021-12-31;18837.0;18837.0;18837.0;18837.0;18837.0;18837.0
2022-01-31;12843.0;12843.0;12843.0;12843.0;12843.0;12843.0
2022-02-28;13786.0;13786.0;13786.0;13786.0;13786.0;13786.0
2022-03-31;22827.0;22827.0;22827.0;22827.0;22827.0;22827.0
2022-04-30;15589.0;15589.0;15589.0;15589.0;15589.0;15589.0
2022-05-31;15591.0;15591.0;15591.0;15591.0;15591.0;15591.0
2022-06-30;15575.0;15575.0;15575.0;15575.0;15575.0;15575.0
2022-07-31;13855.0;13855.0;13855.0;13855.0;13855.0;13855.0
2022-08-31;14372.0;14372.0;14372.0;14372.0;14372.0;14372.0
2022-09-30;12741.0;12741.0;12741.0;12741.0;12741.0;12741.0
2022-10-31;13622.0;13622.0;14932.0;13622.0;13622.0;14773.0
2022-11-30;14326.0;14326.0;15364.0;14326.0;14326.0;16529.0
2022-12-31;12500.0;12500.0;15645.0;12500.0;12500.0;15145.0
2023-01-31;10272.0;10272.0;11401.0;10272.0;10272.0;11238.0
2023-02-28;13555.0;13555.0;14167.0;13555.0;13555.0;14870.0
2023-03-31;15342.0;15342.0;16122.0;15342.0;15342.0;16527.0
2023-04-30;14480.0;13455.0;16264.0;14480.0;13534.0;15294.0
2023-05-31;16964.0;14970.0;16908.0;16964.0;15696.0;16513.0
2023-06-30;16655.0;14144.0;16788.0;16655.0;15007.0;15920.0
2023-07-31;14120.0;13726.0;16465.0;14570.0;13948.0;16068.0
2023-08-31;15482.0;14384.0;17685.0;14853.0;14696.0;16515.0
2023-09-30;15419.0;13485.0;16778.0;14461.0;13835.0;15034.0
