DATA;Água 3 passos - Com Clima;Água 6 passos - Com Clima;Água 12 passos - Com Clima;Água 3 passos - Sem Clima;Água 6 passos - Sem Clima;Água 12 passos - Sem Clima
2018-09-12;;;;;;
2018-10-11;;;;;;
2018-11-12;;;;;;
2018-12-11;;;;;;
2019-01-10;277.0;277.0;277.0;277.0;277.0;277.0
2019-02-11;374.0;374.0;374.0;374.0;374.0;374.0
2019-03-13;785.0;785.0;785.0;785.0;785.0;785.0
2019-04-10;737.0;737.0;737.0;737.0;737.0;737.0
2019-05-10;709.0;709.0;709.0;709.0;709.0;709.0
2019-06-11;942.0;942.0;942.0;942.0;942.0;942.0
2019-07-11;948.0;948.0;948.0;948.0;948.0;948.0
2019-08-12;533.0;533.0;533.0;533.0;533.0;533.0
2019-09-11;691.0;691.0;691.0;691.0;691.0;691.0
2019-10-10;587.0;587.0;587.0;587.0;587.0;587.0
2019-11-11;767.0;767.0;767.0;767.0;767.0;767.0
2019-12-11;699.0;699.0;699.0;699.0;699.0;699.0
2020-01-10;649.0;649.0;649.0;649.0;649.0;649.0
2020-02-11;398.0;398.0;398.0;398.0;398.0;398.0
2020-03-12;1040.0;1040.0;1040.0;1040.0;1040.0;1040.0
2020-04-09;299.0;299.0;299.0;299.0;299.0;299.0
2020-05-12;284.0;284.0;284.0;284.0;284.0;284.0
2020-06-09;354.0;354.0;354.0;354.0;354.0;354.0
2020-07-10;395.0;395.0;395.0;395.0;395.0;395.0
2020-08-11;658.0;658.0;658.0;658.0;658.0;658.0
2020-09-11;456.0;456.0;456.0;456.0;456.0;456.0
2020-10-09;414.0;414.0;414.0;414.0;414.0;414.0
2020-11-11;394.0;394.0;394.0;394.0;394.0;394.0
2020-12-10;372.0;372.0;372.0;372.0;372.0;372.0
2021-01-11;276.0;276.0;276.0;276.0;276.0;276.0
2021-02-09;533.0;533.0;533.0;533.0;533.0;533.0
2021-03-10;293.0;293.0;293.0;293.0;293.0;293.0
2021-04-10;418.0;418.0;418.0;418.0;418.0;418.0
2021-05-11;635.0;635.0;635.0;635.0;635.0;635.0
2021-06-10;331.0;331.0;331.0;331.0;331.0;331.0
2021-07-09;220.0;220.0;220.0;220.0;220.0;220.0
2021-08-10;519.0;519.0;519.0;519.0;519.0;519.0
2021-09-10;218.0;218.0;218.0;218.0;218.0;218.0
2021-10-09;306.0;306.0;306.0;306.0;306.0;306.0
2021-11-10;305.0;305.0;305.0;305.0;305.0;305.0
2021-12-13;421.0;421.0;421.0;421.0;421.0;421.0
2022-01-12;517.0;517.0;517.0;517.0;517.0;517.0
2022-02-10;344.0;344.0;344.0;344.0;344.0;344.0
2022-03-15;349.0;349.0;349.0;349.0;349.0;349.0
2022-04-11;351.0;351.0;351.0;351.0;351.0;351.0
2022-05-11;319.0;319.0;319.0;319.0;319.0;319.0
2022-06-10;440.0;440.0;440.0;440.0;440.0;440.0
2022-07-12;351.0;351.0;351.0;351.0;351.0;351.0
2022-08-11;379.0;379.0;379.0;379.0;379.0;379.0
2022-09-13;369.0;369.0;369.0;369.0;369.0;369.0
2022-10-13;458.0;458.0;504.0;458.0;458.0;472.0
2022-11-11;392.0;392.0;394.0;392.0;392.0;443.0
2022-12-13;373.0;373.0;437.0;373.0;373.0;516.0
2023-01-11;206.0;206.0;372.0;206.0;206.0;354.0
2023-02-10;329.0;329.0;305.0;329.0;329.0;450.0
2023-03-13;338.0;338.0;447.0;338.0;338.0;494.0
2023-04-12;748.0;369.0;512.0;748.0;348.0;549.0
2023-05-12;775.0;350.0;496.0;775.0;483.0;521.0
2023-06-13;401.0;468.0;516.0;401.0;319.0;616.0
2023-07-13;705.0;374.0;588.0;743.0;407.0;616.0
2023-08-14;620.0;427.0;512.0;669.0;367.0;461.0
2023-09-13;691.0;459.0;643.0;755.0;333.0;715.0
